Year,Month,Quarter,Period,Country,Sector,Deal Type, Value 
2004,11,Q4,< 2006,China,Small Hydro,Asset finance investments, 14.40 
2007,4,Q2,2007Q2,China,Small Hydro,Asset finance investments, 23.77 
2008,3,Q1,2008Q1,China,Small Hydro,Asset finance investments, 16.63 
2008,6,Q2,2008Q2,China,Small Hydro,Asset finance investments, 12.24 
2009,11,Q4,2009Q4,China,Small Hydro,Asset finance investments, 11.68 
2004,10,Q4,< 2006,China,Small Hydro,Asset finance investments, 15.60 
2006,10,Q4,2006Q4,China,Small Hydro,Asset finance investments, 22.76 
2014,8,Q3,2014Q3,China,Solar,Asset finance investments, 32.50 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 36.74 
2008,7,Q3,2008Q3,China,Small Hydro,Asset finance investments, 9.23 
2006,12,Q4,2006Q4,China,Small Hydro,Asset finance investments, 8.83 
2006,12,Q4,2006Q4,China,Small Hydro,Asset finance investments, 8.74 
2007,7,Q3,2007Q3,China,Small Hydro,Asset finance investments, 20.60 
2006,6,Q2,2006Q2,China,Small Hydro,Asset finance investments, 30.34 
2007,6,Q2,2007Q2,China,Small Hydro,Asset finance investments, 13.44 
2017,1,Q1,2017Q1,China,Solar,Asset finance investments, 13.28 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 7.87 
2007,6,Q2,2007Q2,China,Small Hydro,Asset finance investments, 15.30 
2011,4,Q2,2011Q2,China,Biomass & Waste,Asset finance investments, 45.90 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 247.02 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 69.22 
2015,2,Q1,2015Q1,China,Solar,Asset finance investments, 11.98 
2004,12,Q4,< 2006,China,Small Hydro,Asset finance investments, 22.50 
2016,1,Q1,2016Q1,China,Solar,Asset finance investments, 4.46 
2004,10,Q4,< 2006,China,Small Hydro,Asset finance investments, 12.61 
2017,1,Q1,2017Q1,China,Wind,Asset finance investments, 49.60 
2014,7,Q3,2014Q3,China,Solar,Asset finance investments, 38.41 
2014,9,Q3,2014Q3,China,Solar,Asset finance investments, 20.00 
2017,4,Q2,2017Q2,China,Solar,Asset finance investments, 7.79 
2017,5,Q2,2017Q2,China,Solar,Asset finance investments, 60.87 
2017,6,Q2,2017Q2,China,Wind,Asset finance investments, 74.40 
2006,11,Q4,2006Q4,China,Small Hydro,Asset finance investments, 24.90 
2007,8,Q3,2007Q3,China,Wind,Asset finance investments, 70.30 
2007,9,Q3,2007Q3,China,Wind,Asset finance investments, 60.49 
2010,2,Q1,2010Q1,China,Wind,Asset finance investments, 61.17 
2012,5,Q2,2012Q2,China,Wind,Asset finance investments, 77.06 
2015,3,Q1,2015Q1,China,Wind,Asset finance investments, 136.66 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 40.10 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 32.00 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 48.00 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 10.76 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 12.43 
2015,8,Q3,2015Q3,China,Solar,Asset finance investments, 41.37 
2017,12,Q4,2017Q4,China,Solar,Asset finance investments, 1.77 
2006,11,Q4,2006Q4,China,Small Hydro,Asset finance investments, 13.62 
2009,2,Q1,2009Q1,China,Small Hydro,Asset finance investments, 7.34 
2008,7,Q3,2008Q3,China,Small Hydro,Asset finance investments, 5.86 
2006,1,Q1,2006Q1,China,Small Hydro,Asset finance investments, 5.36 
2004,6,Q2,< 2006,China,Small Hydro,Asset finance investments, 6.71 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 32.00 
,,,,,,,
2005,1,Q1,< 2006,China,Small Hydro,Asset finance investments, 11.43 
2006,4,Q2,2006Q2,China,Small Hydro,Asset finance investments, 69.18 
2016,9,Q3,2016Q3,China,Solar,Asset finance investments, 35.99 
2015,9,Q3,2015Q3,China,Solar,Asset finance investments, 10.72 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 24.20 
2014,4,Q2,2014Q2,China,Solar,Asset finance investments, 1.61 
2015,7,Q3,2015Q3,China,Solar,Asset finance investments, 32.25 
2016,10,Q4,2016Q4,China,Solar,Asset finance investments, 14.46 
2016,6,Q2,2016Q2,China,Solar,Asset finance investments, 12.03 
2012,6,Q2,2012Q2,China,Solar,Asset finance investments, 10.39 
2015,3,Q1,2015Q1,China,Solar,Asset finance investments, 3.44 
2015,2,Q1,2015Q1,China,Solar,Asset finance investments, 6.70 
2014,7,Q3,2014Q3,China,Solar,Asset finance investments, 38.72 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 80.00 
2016,12,Q4,2016Q4,China,Solar,Asset finance investments, 2.78 
2016,5,Q2,2016Q2,China,Solar,Asset finance investments, 75.93 
2015,3,Q1,2015Q1,China,Solar,Asset finance investments, 4.89 
2016,6,Q2,2016Q2,China,Solar,Asset finance investments, 30.08 
2016,8,Q3,2016Q3,China,Solar,Asset finance investments, 241.50 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 5.17 
2015,9,Q3,2015Q3,China,Solar,Asset finance investments, 31.47 
2016,12,Q4,2016Q4,China,Solar,Asset finance investments, 2.78 
2017,5,Q2,2017Q2,China,Solar,Asset finance investments, 8.21 
2011,6,Q2,2011Q2,China,Solar,Asset finance investments, 59.94 
2012,7,Q3,2012Q3,China,Solar,Asset finance investments, 61.36 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 19.63 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 32.31 
2011,9,Q3,2011Q3,China,Solar,Asset finance investments, 23.04 
2013,8,Q3,2013Q3,China,Solar,Asset finance investments, 73.50 
2011,6,Q2,2011Q2,China,Solar,Asset finance investments, 225.75 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 80.00 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 48.00 
2011,9,Q3,2011Q3,China,Solar,Asset finance investments, 127.85 
2012,5,Q2,2012Q2,China,Solar,Asset finance investments, 158.09 
2012,5,Q2,2012Q2,China,Solar,Asset finance investments, 154.17 
2015,3,Q1,2015Q1,China,Solar,Asset finance investments, 48.00 
2015,9,Q3,2015Q3,China,Solar,Asset finance investments, 16.00 
2011,1,Q1,2011Q1,China,Solar,Asset finance investments, 2.93 
2013,3,Q1,2013Q1,China,Solar,Asset finance investments, 160.00 
2015,5,Q2,2015Q2,China,Solar,Asset finance investments, 16.48 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 32.00 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 49.36 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 25.85 
2016,2,Q1,2016Q1,China,Solar,Asset finance investments, 45.95 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 3.20 
2015,4,Q2,2015Q2,China,Solar,Asset finance investments, 1.53 
2016,2,Q1,2016Q1,China,Solar,Asset finance investments, 30.53 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 1.60 
2015,1,Q1,2015Q1,China,Solar,Asset finance investments, 1.92 
2014,10,Q4,2014Q4,China,Wind,Asset finance investments, 31.24 
2010,4,Q2,2010Q2,China,Biomass & Waste,Asset finance investments, 10.25 
2016,8,Q3,2016Q3,China,Solar,Asset finance investments, 16.81 
2016,8,Q3,2016Q3,China,Solar,Asset finance investments, 5.81 
2017,7,Q3,2017Q3,China,Solar,Asset finance investments, 14.61 
2017,7,Q3,2017Q3,China,Solar,Asset finance investments, 7.30 
2013,7,Q3,2013Q3,China,Solar,Asset finance investments, 32.00 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 55.38 
2017,7,Q3,2017Q3,China,Solar,Asset finance investments, 60.87 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 12.92 
2011,3,Q1,2011Q1,China,Solar,Asset finance investments, 2.16 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 56.00 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 7.23 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 8.50 
2014,6,Q2,2014Q2,China,Solar,Asset finance investments, 72.88 
2014,9,Q3,2014Q3,China,Solar,Asset finance investments, 8.24 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 2.30 
2015,8,Q3,2015Q3,China,Solar,Asset finance investments, 47.03 
2016,8,Q3,2016Q3,China,Solar,Asset finance investments, 4.60 
2015,4,Q2,2015Q2,China,Solar,Asset finance investments, 35.51 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 64.62 
2015,7,Q3,2015Q3,China,Solar,Asset finance investments, 28.99 
2015,9,Q3,2015Q3,China,Solar,Asset finance investments, 1.60 
2016,11,Q4,2016Q4,China,Solar,Asset finance investments, 27.98 
2016,2,Q1,2016Q1,China,Solar,Asset finance investments, 27.36 
2007,12,Q4,2007Q4,China,Biomass & Waste,Asset finance investments, 31.79 
2014,6,Q2,2014Q2,China,Solar,Asset finance investments, 1.52 
2006,7,Q3,2006Q3,China,Biomass & Waste,Asset finance investments, 23.99 
2013,5,Q2,2013Q2,China,Solar,Asset finance investments, 4.82 
2015,9,Q3,2015Q3,China,Solar,Asset finance investments, 33.04 
2016,8,Q3,2016Q3,China,Solar,Asset finance investments, 2.69 
2016,6,Q2,2016Q2,China,Solar,Asset finance investments, 15.04 
2015,4,Q2,2015Q2,China,Solar,Asset finance investments, 2.66 
2015,7,Q3,2015Q3,China,Solar,Asset finance investments, 1.65 
2011,5,Q2,2011Q2,China,Solar,FALSE, 71.30 
2016,10,Q4,2016Q4,China,Solar,Asset finance investments, 24.37 
2014,12,Q4,2014Q4,China,Solar,Asset finance investments, 3.20 
2015,8,Q3,2015Q3,China,Solar,Asset finance investments, 1.66 
2011,10,Q4,2011Q4,China,Solar,Asset finance investments, 15.27 
2015,1,Q1,2015Q1,China,Solar,Asset finance investments, 2.88 
2015,1,Q1,2015Q1,China,Solar,Asset finance investments, 2.45 
2015,2,Q1,2015Q1,China,Solar,Asset finance investments, 1.82 
2012,5,Q2,2012Q2,China,Solar,FALSE, 191.88 
2015,2,Q1,2015Q1,China,Solar,Asset finance investments, 8.00 
2014,6,Q2,2014Q2,China,Solar,Asset finance investments, 1.71 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 12.10 
2016,9,Q3,2016Q3,China,Solar,Asset finance investments, 12.10 
2011,10,Q4,2011Q4,China,Solar,Asset finance investments, 5.29 
2013,1,Q1,2013Q1,China,Solar,Asset finance investments, 17.69 
2016,9,Q3,2016Q3,China,Solar,Asset finance investments, 13.50 
2012,8,Q3,2012Q3,China,Wind,Asset finance investments, 76.51 
2013,1,Q1,2013Q1,China,Solar,Asset finance investments, 16.00 
2013,12,Q4,2013Q4,China,Solar,Asset finance investments, 7.43 
2013,1,Q1,2013Q1,China,Solar,Asset finance investments, 1.26 
2014,4,Q2,2014Q2,China,Solar,Asset finance investments, 80.00 
2013,11,Q4,2013Q4,China,Biomass & Waste,Asset finance investments, 87.36 
2014,11,Q4,2014Q4,China,Solar,Asset finance investments, 2.88 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 98.94 
2014,1,Q1,2014Q1,China,Solar,Asset finance investments, 37.03 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 31.03 
2008,2,Q1,2008Q1,China,Wind,Asset finance investments, 67.17 
2016,8,Q3,2016Q3,China,Wind,Asset finance investments, 48.34 
2010,4,Q2,2010Q2,China,Clean Energy (Other),FALSE, 299.80 
2017,2,Q1,2017Q1,China,Solar,Asset finance investments, 25.39 
2013,3,Q1,2013Q1,China,Biomass & Waste,Asset finance investments, 54.71 
2009,10,Q4,2009Q4,China,Biomass & Waste,Asset finance investments, 38.44 
2012,10,Q4,2012Q4,China,Biomass & Waste,Asset finance investments, 111.60 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 4.80 
2015,5,Q2,2015Q2,China,Solar,Asset finance investments, 48.00 
2014,9,Q3,2014Q3,China,Solar,Asset finance investments, 40.00 
2012,4,Q2,2012Q2,China,Solar,Asset finance investments, 58.92 
2013,8,Q3,2013Q3,China,Solar,Asset finance investments, 52.52 
2012,2,Q1,2012Q1,China,Solar,Asset finance investments, 6.00 
2011,10,Q4,2011Q4,China,Solar,Asset finance investments, 28.09 
2012,4,Q2,2012Q2,China,Solar,Asset finance investments, 37.64 
2006,1,Q1,2006Q1,China,Small Hydro,Asset finance investments, 57.54 
2010,8,Q3,2010Q3,China,Solar,FALSE, 126.00 
2012,4,Q2,2012Q2,China,Solar,Asset finance investments, 6.63 
2012,9,Q3,2012Q3,China,Solar,Asset finance investments, 25.16 
2015,12,Q4,2015Q4,China,Solar,Asset finance investments, 2.40 
2016,11,Q4,2016Q4,China,Solar,Asset finance investments, 5.81 
2011,7,Q3,2011Q3,China,Solar,Asset finance investments, 34.18 
2016,10,Q4,2016Q4,China,Solar,Asset finance investments, 154.86 
2008,3,Q1,2008Q1,China,Biomass & Waste,Asset finance investments, 42.31 
2009,3,Q1,2009Q1,China,Small Hydro,Asset finance investments, 46.99 
2017,6,Q2,2017Q2,China,Solar,Asset finance investments, 3.47 
2012,9,Q3,2012Q3,China,Solar,Asset finance investments, 6.14 
2015,9,Q3,2015Q3,China,Solar,Asset finance investments, 8.00 
2016,7,Q3,2016Q3,China,Solar,Asset finance investments, 6.05 
2016,11,Q4,2016Q4,China,Solar,Asset finance investments, 7.26 
2011,12,Q4,2011Q4,China,Solar,Asset finance investments, 5.42 
2005,12,Q4,< 2006,China,Small Hydro,Asset finance investments, 17.64 
2014,7,Q3,2014Q3,China,Solar,Asset finance investments, 48.35 
2016,4,Q2,2016Q2,China,Solar,Asset finance investments, 18.51 
2017,6,Q2,2017Q2,China,Solar,Asset finance investments, 2.19 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 85.05 
2016,10,Q4,2016Q4,China,Solar,Asset finance investments, 3.69 
2016,5,Q2,2016Q2,China,Solar,Asset finance investments, 24.37 
2016,4,Q2,2016Q2,China,Solar,Asset finance investments, 30.86 
2017,4,Q2,2017Q2,China,Solar,Asset finance investments, 11.67 
2011,11,Q4,2011Q4,China,Biomass & Waste,Asset finance investments, 12.56 
2011,1,Q1,2011Q1,China,Biomass & Waste,Asset finance investments, 24.22 
2010,7,Q3,2010Q3,China,Biomass & Waste,Asset finance investments, 19.48 
2010,3,Q1,2010Q1,China,Biomass & Waste,Asset finance investments, 34.23 
2016,4,Q2,2016Q2,China,Solar,Asset finance investments, 60.50 
2008,10,Q4,2008Q4,China,Wind,Asset finance investments, 65.30 
2016,5,Q2,2016Q2,China,Solar,Asset finance investments, 1.29 
2015,11,Q4,2015Q4,China,Wind,Asset finance investments, 7.00 
2013,5,Q2,2013Q2,China,Solar,Asset finance investments, 4.87 
2014,8,Q3,2014Q3,China,Solar,Asset finance investments, 12.14 
2014,8,Q3,2014Q3,China,Solar,Asset finance investments, 7.20 
2014,9,Q3,2014Q3,China,Solar,Asset finance investments, 1.63 
2009,6,Q2,2009Q2,China,Wind,Asset finance investments, 42.47 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 2.90 
2014,6,Q2,2014Q2,China,Solar,Asset finance investments, 117.52 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 1.44 
2012,3,Q1,2012Q1,China,Clean Energy (Other),FALSE, 157.14 
2016,9,Q3,2016Q3,China,Solar,Asset finance investments, 9.08 
2011,8,Q3,2011Q3,China,Biomass & Waste,Asset finance investments, 43.90 
2016,7,Q3,2016Q3,China,Solar,Asset finance investments, 6.05 
2017,5,Q2,2017Q2,China,Solar,Asset finance investments, 4.43 
2017,1,Q1,2017Q1,China,Solar,Asset finance investments, 83.79 
2017,8,Q3,2017Q3,China,Solar,Asset finance investments, 38.77 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 5.17 
2015,1,Q1,2015Q1,China,Solar,Asset finance investments, 9.60 
2015,1,Q1,2015Q1,China,Solar,Asset finance investments, 1.93 
2013,6,Q2,2013Q2,China,Wind,Asset finance investments, 63.00 
2016,5,Q2,2016Q2,China,Solar,Asset finance investments, 47.28 
2016,12,Q4,2016Q4,China,Solar,Asset finance investments, 36.00 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 24.20 
2014,8,Q3,2014Q3,China,Solar,Asset finance investments, 48.76 
2013,8,Q3,2013Q3,China,Solar,Asset finance investments, 32.00 
2014,4,Q2,2014Q2,China,Solar,Asset finance investments, 98.19 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 48.10 
2017,4,Q2,2017Q2,China,Solar,Asset finance investments, 25.58 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 160.57 
2017,6,Q2,2017Q2,China,Solar,Asset finance investments, 24.12 
2016,5,Q2,2016Q2,China,Solar,Asset finance investments, 30.79 
2013,9,Q3,2013Q3,China,Solar,Asset finance investments, 80.00 
2014,9,Q3,2014Q3,China,Solar,Asset finance investments, 160.00 
2015,9,Q3,2015Q3,China,Solar,Asset finance investments, 15.84 
2014,12,Q4,2014Q4,China,Solar,Asset finance investments, 48.34 
2014,7,Q3,2014Q3,China,Solar,Asset finance investments, 162.02 
2017,4,Q2,2017Q2,China,Solar,Asset finance investments, 129.37 
2013,8,Q3,2013Q3,China,Solar,Asset finance investments, 45.75 
2012,5,Q2,2012Q2,China,Solar,Asset finance investments, 61.67 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 38.77 
2017,6,Q2,2017Q2,China,Solar,Asset finance investments, 66.59 
2013,5,Q2,2013Q2,China,Solar,Asset finance investments, 48.85 
2012,4,Q2,2012Q2,China,Solar,Asset finance investments, 122.30 
2012,6,Q2,2012Q2,China,Solar,Asset finance investments, 154.17 
2013,4,Q2,2013Q2,China,Solar,Asset finance investments, 194.07 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 77.10 
2014,3,Q1,2014Q1,China,Solar,Asset finance investments, 51.94 
2015,4,Q2,2015Q2,China,Solar,Asset finance investments, 78.33 
2014,11,Q4,2014Q4,China,Solar,Asset finance investments, 49.05 
2005,9,Q3,< 2006,China,Small Hydro,Asset finance investments, 50.20 
2016,10,Q4,2016Q4,China,Solar,Asset finance investments, 103.31 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 48.00 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 40.58 
2013,1,Q1,2013Q1,China,Solar,Asset finance investments, 5.77 
2013,2,Q1,2013Q1,China,Solar,Asset finance investments, 5.28 
2014,2,Q1,2014Q1,China,Solar,Asset finance investments, 16.14 
2015,5,Q2,2015Q2,China,Solar,Asset finance investments, 290.44 
2013,9,Q3,2013Q3,China,Solar,Asset finance investments, 24.51 
2013,2,Q1,2013Q1,China,Biomass & Waste,Asset finance investments, 8.62 
2016,11,Q4,2016Q4,China,Solar,Asset finance investments, 10.89 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 7.63 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 40.90 
2016,2,Q1,2016Q1,China,Solar,Asset finance investments, 30.53 
2016,12,Q4,2016Q4,China,Solar,Asset finance investments, 81.93 
2008,3,Q1,2008Q1,China,Small Hydro,Asset finance investments, 12.65 
2016,6,Q2,2016Q2,China,Solar,Asset finance investments, 18.15 
2017,7,Q3,2017Q3,China,Solar,Asset finance investments, 22.45 
2016,5,Q2,2016Q2,China,Solar,Asset finance investments, 24.20 
2014,9,Q3,2014Q3,China,Solar,Asset finance investments, 16.00 
2005,3,Q1,< 2006,China,Small Hydro,Asset finance investments, 35.84 
2009,3,Q1,2009Q1,China,Small Hydro,Asset finance investments, 6.99 
2009,9,Q3,2009Q3,China,Solar,Asset finance investments, 24.90 
2015,1,Q1,2015Q1,China,Solar,Asset finance investments, 59.28 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 73.15 
2016,9,Q3,2016Q3,China,Solar,Asset finance investments, 2.25 
2006,8,Q3,2006Q3,China,Small Hydro,Asset finance investments, 20.81 
2015,2,Q1,2015Q1,China,Solar,Asset finance investments, 4.96 
2015,1,Q1,2015Q1,China,Solar,Asset finance investments, 45.73 
2015,8,Q3,2015Q3,China,Solar,Asset finance investments, 7.20 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 70.78 
2009,7,Q3,2009Q3,China,Biomass & Waste,Asset finance investments, 127.35 
2011,2,Q1,2011Q1,China,Biomass & Waste,Asset finance investments, 40.10 
2014,9,Q3,2014Q3,China,Biomass & Waste,Asset finance investments, 73.35 
2009,4,Q2,2009Q2,China,Biomass & Waste,Asset finance investments, 34.73 
2009,9,Q3,2009Q3,China,Biomass & Waste,Asset finance investments, 36.62 
2007,10,Q4,2007Q4,China,Small Hydro,Asset finance investments, 7.64 
2017,1,Q1,2017Q1,China,Solar,Asset finance investments, 20.70 
2015,4,Q2,2015Q2,China,Solar,Asset finance investments, 29.02 
2013,1,Q1,2013Q1,China,Solar,Asset finance investments, 13.68 
2017,12,Q4,2017Q4,China,Solar,Asset finance investments, 24.20 
2017,9,Q3,2017Q3,China,Solar,Asset finance investments, 24.35 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 24.20 
2015,6,Q2,2015Q2,China,Solar,Asset finance investments, 32.00 
2013,5,Q2,2013Q2,China,Solar,Asset finance investments, 8.00 
2017,2,Q1,2017Q1,China,Solar,Asset finance investments, 258.48 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 12.80 
2013,7,Q3,2013Q3,China,Solar,Asset finance investments, 32.00 
2016,10,Q4,2016Q4,China,Solar,Asset finance investments, 8.26 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 80.00 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 80.00 
2017,2,Q1,2017Q1,China,Solar,Asset finance investments, 25.85 
2017,4,Q2,2017Q2,China,Solar,Asset finance investments, 17.04 
2017,5,Q2,2017Q2,China,Solar,Asset finance investments, 60.87 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 16.71 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 17.28 
2004,4,Q2,< 2006,China,Small Hydro,Asset finance investments, 14.10 
2013,4,Q2,2013Q2,China,Solar,Asset finance investments, 37.82 
2017,7,Q3,2017Q3,China,Solar,Asset finance investments, 20.28 
2017,7,Q3,2017Q3,China,Solar,Asset finance investments, 7.30 
2012,3,Q1,2012Q1,China,Solar,Asset finance investments, 25.37 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 32.27 
2013,9,Q3,2013Q3,China,Solar,Asset finance investments, 48.00 
2013,6,Q2,2013Q2,China,Solar,Asset finance investments, 160.00 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 33.60 
2016,11,Q4,2016Q4,China,Solar,Asset finance investments, 60.50 
2014,4,Q2,2014Q2,China,Solar,Asset finance investments, 80.00 
2014,9,Q3,2014Q3,China,Solar,Asset finance investments, 160.00 
2017,11,Q4,2017Q4,China,Solar,Asset finance investments, 74.24 
2017,7,Q3,2017Q3,China,Solar,Asset finance investments, 12.17 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 59.75 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 125.82 
2016,2,Q1,2016Q1,China,Solar,Asset finance investments, 9.12 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 43.96 
2013,9,Q3,2013Q3,China,Solar,Asset finance investments, 32.00 
2013,9,Q3,2013Q3,China,Solar,Asset finance investments, 32.00 
2014,6,Q2,2014Q2,China,Solar,Asset finance investments, 32.00 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 64.00 
2015,12,Q4,2015Q4,China,Solar,Asset finance investments, 32.93 
2015,8,Q3,2015Q3,China,Solar,Asset finance investments, 32.00 
2014,12,Q4,2014Q4,China,Solar,Asset finance investments, 32.00 
2014,6,Q2,2014Q2,China,Solar,Asset finance investments, 16.00 
2010,9,Q3,2010Q3,China,Biomass & Waste,Asset finance investments, 47.45 
2018,1,Q1,2018Q1,China,Wind,Asset finance investments, 130.04 
2010,1,Q1,2010Q1,China,Wind,Asset finance investments, 65.91 
2016,12,Q4,2016Q4,China,Wind,Asset finance investments, 57.46 
2016,10,Q4,2016Q4,China,Wind,Asset finance investments, 68.26 
2012,1,Q1,2012Q1,China,Wind,Asset finance investments, 25.59 
2010,2,Q1,2010Q1,China,Wind,Asset finance investments, 81.44 
2016,10,Q4,2016Q4,China,Wind,Asset finance investments, 65.97 
2013,2,Q1,2013Q1,China,Wind,Asset finance investments, 53.89 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 66.20 
2015,1,Q1,2015Q1,China,Wind,Asset finance investments, 49.13 
2008,5,Q2,2008Q2,China,Wind,Asset finance investments, 74.26 
2010,4,Q2,2010Q2,China,Wind,Asset finance investments, 75.16 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 8.00 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 16.00 
2017,4,Q2,2017Q2,China,Solar,Asset finance investments, 6.01 
2017,4,Q2,2017Q2,China,Solar,Asset finance investments, 14.25 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 25.60 
2015,7,Q3,2015Q3,China,Solar,Asset finance investments, 42.84 
2016,9,Q3,2016Q3,China,Solar,Asset finance investments, 35.97 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 32.00 
2015,7,Q3,2015Q3,China,Solar,Asset finance investments, 169.10 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 32.00 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 49.54 
2016,10,Q4,2016Q4,China,Solar,Asset finance investments, 28.48 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 124.07 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 32.00 
2017,10,Q4,2017Q4,China,Solar,Asset finance investments, 47.81 
2013,4,Q2,2013Q2,China,Wind,Asset finance investments, 69.30 
2016,2,Q1,2016Q1,China,Solar,Asset finance investments, 29.99 
2016,4,Q2,2016Q2,China,Solar,Asset finance investments, 8.91 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 24.42 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 18.65 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 23.02 
2016,10,Q4,2016Q4,China,Solar,Asset finance investments, 20.66 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 43.34 
2014,6,Q2,2014Q2,China,Solar,Asset finance investments, 160.66 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 2.40 
2015,12,Q4,2015Q4,China,Solar,Asset finance investments, 5.39 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 12.10 
2015,7,Q3,2015Q3,China,Wind,Asset finance investments, 50.71 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 32.00 
2015,10,Q4,2015Q4,China,Solar,Asset finance investments, 30.08 
2017,5,Q2,2017Q2,China,Solar,Asset finance investments, 40.98 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 40.81 
2013,11,Q4,2013Q4,China,Solar,Asset finance investments, 47.25 
2016,2,Q1,2016Q1,China,Solar,Asset finance investments, 3.84 
2014,4,Q2,2014Q2,China,Solar,Asset finance investments, 1.60 
2017,9,Q3,2017Q3,China,Solar,Asset finance investments, 24.35 
2006,12,Q4,2006Q4,China,Small Hydro,Asset finance investments, 22.49 
2007,12,Q4,2007Q4,China,Small Hydro,Asset finance investments, 65.63 
2005,11,Q4,< 2006,China,Small Hydro,Asset finance investments, 120.48 
2006,11,Q4,2006Q4,China,Biomass & Waste,Asset finance investments, 4.06 
2016,3,Q1,2016Q1,China,Solar,Asset finance investments, 10.26 
2015,7,Q3,2015Q3,China,Solar,Asset finance investments, 1.34 
